module,fields,content,type,requirement,max_sec
3,,"To start off, can you tell me a bit about your background? Where did you grow up, and what was it like? You can share anything about your family, your neighborhood, friends, or anything else you can think of.",qualitative,"Learn as much as you can about the interviewee's life experience, and their personal background. Be respectful but curious as you hear about their story. Try to get some specific and detailed experiences or memories about the interviewee's life.",30
4,,"Now I'd like to ask you about an important relationship in your life. Who is someone who has had a big impact on you? Can you tell me about your relationship with them—how you met, what they mean to you, and any important memories you've shared?",qualitative,"Learn about a personally meaningful relationship. Encourage storytelling and emotional depth. Ask follow-ups to explore how this relationship shaped the interviewee's identity, values, or perspective.",30
6,,"Can you tell me about the work you do now? What's your job like, and how do you feel about it day to day?",qualitative,Learn about what the interviewee does for a living. Be curious but respectful as you hear about their story. Follow up and ask what they like and dislike about their job.,45
8,,"Generally, what could be done to make your work life better? You can discuss whatever you feel would make your life better, either now or in the past. ",qualitative,"Learn about what the interviewee thinks could be done to make their work life better. Be curious about their thoughts. Try to get some specific examples or ideas about how to improve their work life. If they need inspiration, you can give them some ideas but try not to bias them. If their answers are too brief or surface-level, probe further to understand their reasoning. You can even ask them what they would tell someone in-power like a lawmaker or employer.",60
9,,"We're now going to turn to the topic of the minimum wage. How would changes in the minimum wage (either raising or lowering it) affect you, your family, or anyone else you know personally?",qualitative,"Learn about how the interviewee thinks changes in the minimum wage would affect them, their family, or anyone else they know personally. Be curious about their thoughts. Make sure you ask follow up questions to get more specific on how they would be impacted. If they say they would be negatively impacted, ask why they think that. If they do not think they would be impacted, prompt them to think about different people they interact with that may be impacted.",60
10,,What do you think is a fair minimum wage in your area? Why?,qualitative,"Understand the interviewee's thoughts on what a fair minimum wage is. Be curious and try to get some specific and detailed thoughts about the interviewee's thoughts on what a fair minimum wage is. For example, you can ask them to think about rent, food, and other basic necessities in their area.",45
11,,"If you earned more, what would you do with the extra money?",qualitative,"Learn about how the interviewee would spend extra money. You can also ask how it would make them feel to have the extra money, and what goals it would allow them to achieve.",45
12,,Do you have any concerns about raising the minimum wage to $30 an hour?,qualitative,"Surface how the interviewee thinks about economic trade-offs and competing narratives. If they cannot think of any downsides, you can provide some examples, such as higher prices, less jobs, etc.",45
13,,"I'd now like to ask you about discrimination. Have you ever experienced discrimination? If so, can you tell me about it?",qualitative,"Learn about the interviewee's experiences with discrimination. Be curious and try to get some specific and detailed experiences or memories about the interviewee's experience with discrimination. Follow up with questions about whether they have experienced discrimination in the workplace or hiring. If they say they have never experienced discrimination, ask them if anyone they know has experienced discrimination. If they say they have not experienced discrimination nor have anyone they know has experienced discrimination, then ask them whether they think discrimination is a problem in society and why.",60
14,,How would you feel if you knew that race or gender was a factor in a hiring decision that affected you?,qualitative,Understand the interviewee's thoughts on how they would feel if they knew that race or gender was a factor in hiring decisions. Be curious and try to get some specific and detailed thoughts about the interviewee's thoughts on how they would feel if they knew that race or gender was a factor in hiring decisions.,45
15,,Do you think race or gender should be taken into account for hiring decisions to combat gender and racial inequality? Why or why not?,qualitative,Understand the interviewee's thoughts on whether race or gender should be taken into account for hiring decisions. Be curious and try to get some specific and detailed thoughts about the interviewee's thoughts on whether race or gender should be taken into account for hiring decisions.,45
16,,We're now going to move to a new topic. Have you ever worked with or known someone at work from another country? What was your experience like?,qualitative,"Understand whether the interviewee has worked with or known someone from another country. If they have, ask them specifics questions about their experience working with them and what it was like. If they have not, ask them if they have friends or family who are from another country, or they themselves are from another country. If they know someone from another country, ask them about that relationship and what it was like.",45
17,,"Have you or someone close to you ever been impacted by immigration policy, especially around work or hiring?",factual,"Understand whether the interviewee has been impacted by immigration policy. If they have, ask them specifics questions about their experience and what it was like. If they have not, ask them if they have friends or family who have been impacted by immigration policy. Try to get specific experiences or memories about the interviewee's experience with immigration policy if they have been impacted. If they have not been impacted at all nor have anyone they know has been impacted, then the objective has been met.",45
18,,"Do you think it matters where someone is from when hiring for a job, as long as they’re qualified? Why or why not?",qualitative,"Understand the interviewee's thoughts on whether it matters where someone is from when hiring for a job, as long as they’re qualified. Try to understand the benefits and drawbacks they see. Also follow up by asking if there are any situations where nationality or immigration status should be considered.",45
19,,How do you feel about the idea that companies should prioritize hiring local applicants over foreign applicants?,qualitative,Understand the interviewee's thoughts on the idea that companies should prioritize hiring local applicants over foreign applicants. Follow up by asking them the benefits and drawbacks of this idea.,45
